race_id,EX_payout,runner_program_number_pp,x8is_exacta,official_finish_position,prob_x8runner_HDWPSRRating_norm_par
ALB_20160703_10,13.3,2,1.0,1.0,0.1372614802168994
ALB_20160703_10,13.3,1,1.0,2.0,0.0837527177073634
ALB_20160703_10,13.3,8,0.0,3.0,0.471878238074615
ALB_20160703_10,13.3,7,0.0,4.0,0.1372614802168994
ALB_20160703_10,13.3,3,0.0,5.0,0.0002228227055923603
ALB_20160703_10,13.3,6,0.0,6.0,0.06428318135733163
ALB_20160703_10,13.3,5,0.0,7.0,0.014109800375283709
ALB_20160703_10,13.3,4,0.0,8.0,0.02694709798868362
ALB_20160703_10,13.3,9,0.0,9.0,0.06428318135733163
ALB_20160703_4,11.1,7,1.0,1.0,0.32379316936518204
ALB_20160703_4,11.1,3,1.0,2.0,0.03375895722609566
ALB_20160703_4,11.1,4,0.0,3.0,0.3757764374541477
ALB_20160703_4,11.1,5,0.0,4.0,0.00733500662879194
ALB_20160703_4,11.1,1,0.0,5.0,0.014368497857076942
ALB_20160703_4,11.1,6,0.0,6.0,0.008426929782110114
ALB_20160703_4,11.1,2,0.0,7.0,0.2365410016865955
ALB_20160703_5,4.9,2,1.0,1.0,0.08252288753432671
ALB_20160703_5,4.9,5,1.0,2.0,0.6833088292982756
ALB_20160703_5,4.9,1,0.0,3.0,0.12217916170911197
ALB_20160703_5,4.9,4,0.0,4.0,0.034460914785157185
ALB_20160703_5,4.9,6,0.0,5.0,0.002145315388826335
ALB_20160703_5,4.9,3,,,0.02123177942059006
ALB_20160703_5,4.9,7,,,0.05415111186371218
ALB_20160703_7,11.4,3,1.0,1.0,0.07169526246298567
ALB_20160703_7,11.4,6,1.0,2.0,0.21819994252597416
ALB_20160703_7,11.4,4,0.0,3.0,0.024472514558970825
ALB_20160703_7,11.4,5,0.0,4.0,0.03255937340436643
ALB_20160703_7,11.4,1,0.0,5.0,0.11514460522648028
ALB_20160703_7,11.4,2,0.0,6.0,0.0015930645855096496
ALB_20160703_7,11.4,7,,,0.536335237235713
ALB_20160703_8,79.0,1,1.0,1.0,0.003949964617818789
ALB_20160703_8,79.0,8,1.0,2.0,0.2518236884760658
ALB_20160703_8,79.0,7,0.0,3.0,0.17115111772987288
ALB_20160703_8,79.0,4,0.0,4.0,0.2518236884760658
ALB_20160703_8,79.0,3,0.0,5.0,0.0027764817795891965
ALB_20160703_8,79.0,2,0.0,6.0,0.05606910520330315
ALB_20160703_8,79.0,5,0.0,7.0,0.010582265241218471
ALB_20160703_8,79.0,6,0.0,8.0,0.2518236884760659
ALB_20160703_9,23.2,4,1.0,1.0,0.19679440042143323
ALB_20160703_9,23.2,6,1.0,2.0,0.15797090209806935
ALB_20160703_9,23.2,2,0.0,3.0,0.05902816028549175
ALB_20160703_9,23.2,5,0.0,4.0,0.024958435455208847
ALB_20160703_9,23.2,3,0.0,5.0,0.044854977514442056
ALB_20160703_9,23.2,7,0.0,6.0,0.5150085148566613
ALB_20160703_9,23.2,1,0.0,7.0,0.001384609368693434
APX_20160703_1,28.7,2,1.0,1.0,0.5871129897059517
APX_20160703_1,28.7,5,0.0,5.0,0.04370397999470287
APX_20160703_1,28.7,3,0.0,6.0,0.31915367687810436
APX_20160703_1,28.7,7,0.0,7.0,0.034306660283101496
APX_20160703_1,28.7,4,0.0,8.0,0.01572269313813959
APX_20160703_2,36.5,3,1.0,1.0,0.03532305163195888
APX_20160703_2,36.5,2,1.0,2.0,0.3983309379210286
APX_20160703_2,36.5,1,0.0,3.0,0.3983309379210286
APX_20160703_2,36.5,5,0.0,4.0,0.009952660710402218
APX_20160703_2,36.5,6,0.0,5.0,0.08414355983973612
APX_20160703_2,36.5,8,0.0,6.0,0.016947455648373865
APX_20160703_2,36.5,7,0.0,7.0,0.055353251294822284
APX_20160703_2,36.5,4,,,0.001618145032649507
APX_20160703_3,6.4,2,1.0,1.0,0.4502581658062214
APX_20160703_3,6.4,1,1.0,2.0,0.15964519955331152
APX_20160703_3,6.4,3,0.0,3.0,0.05305553903163022
APX_20160703_3,6.4,4,0.0,4.0,0.07848262928461973
APX_20160703_3,6.4,5,0.0,5.0,0.2564677109342133
APX_20160703_3,6.4,6,0.0,6.0,0.002090755390003862
APX_20160703_4,28.5,2,1.0,1.0,0.10484985542234312
APX_20160703_4,28.5,7,1.0,2.0,0.01844342362147691
APX_20160703_4,28.5,3,0.0,3.0,0.009257960230310395
APX_20160703_4,28.5,1,0.0,4.0,0.16971070242907754
APX_20160703_4,28.5,5,0.0,5.0,0.6714104236241615
APX_20160703_4,28.5,6,0.0,6.0,0.013163817336315282
APX_20160703_4,28.5,4,0.0,7.0,0.013163817336315282
APX_20160703_5,76.7,2,1.0,1.0,0.15609640543286382
APX_20160703_5,76.7,4,0.0,3.0,0.2966752199101925
APX_20160703_5,76.7,7,0.0,4.0,0.24186192989658345
APX_20160703_5,76.7,10,0.0,6.0,0.012281128025679093
APX_20160703_5,76.7,8,0.0,7.0,0.09658674909329798
