,chart_file_sym,date,race_number,breed_code,distance,is_about_distance,surface_code,is_off_turf,course_type_code,race_type_code,race_conditions,race_name,sex_restriction_code,age_restriction_code,is_restricted_to_statebred,purse,max_claiming_price,min_claiming_price,grade_code,division,num_starters,track_condition_code,weather_code,post_time,temp_rail_dist,is_chute_start,is_track_sealed,race_f1_time,race_f2_time,race_f3_time,race_f4_time,race_f5_time,race_winning_time,wps_combined_pool,run_up_dist,horse_name,age,sex_code,medication_code,equipment_code,weight,claiming_price,earnings,program_number,coupled_type,morning_line,final_tote_odds,is_favorite,is_non_betting,payout_win,payout_place,payout_show,post_position,pos_call_start,pos_call_1,pos_call_2,pos_call_3,pos_call_4,pos_call_stretch,pos_call_finish,official_finish_position,call_1_lengths_behind,call_2_lengths_behind,call_3_lengths_behind,call_4_lengths_behind,stretch_call_lengths_behind,finish_lengths_behind,comment_line,trainer_first_name,trainer_middle_name,trainer_last_name,jockey_first_name,jockey_middle_name,jockey_last_name,apprentice_weight_allowance,owner_full_name,is_claimed,claiming_trainer_first_name,claiming_trainer_middle_name,claiming_trainer_last_name,claiming_owner_full_name,is_scratch,scratch_code,last_race_track,last_race_date,last_race_num,last_race_finish,long_comment,wager_type_1,wager_unit_1,wager_numright_1,wager_payout_1,wager_winningPGM_1,wager_pool_1,wager_type_2,wager_unit_2,wager_numright_2,wager_payout_2,wager_winningPGM_2,wager_pool_2,wager_type_3,wager_unit_3,wager_numright_3,wager_payout_3,wager_winningPGM_3,wager_pool_3,wager_type_4,wager_unit_4,wager_numright_4,wager_payout_4,wager_winningPGM_4,wager_pool_4,wager_type_5,wager_unit_5,wager_numright_5,wager_payout_5,wager_winningPGM_5,wager_pool_5,wager_type_6,wager_unit_6,wager_numright_6,wager_payout_6,wager_winningPGM_6,wager_pool_6,wager_type_7,wager_unit_7,wager_numright_7,wager_payout_7,wager_winningPGM_7,wager_pool_7,wager_type_8,wager_unit_8,wager_numright_8,wager_payout_8,wager_winningPGM_8,wager_pool_8,wager_type_9,wager_unit_9,wager_numright_9,wager_payout_9,wager_winningPGM_9,wager_pool_9,wager_type_10,wager_unit_10,wager_numright_10,wager_payout_10,wager_winningPGM_10,wager_pool_10,wager_type_11,wager_unit_11,wager_numright_11,wager_payout_11,wager_winningPGM_11,wager_pool_11,wager_type_12,wager_unit_12,wager_numright_12,wager_payout_12,wager_winningPGM_12,wager_pool_12,map_sex_restriction_code,map_breed_code,map_weather_code,map_medication_code,map_sex_code,map_grade_code,map_age_restriction_code,map_scratch_code,map_race_type_code,map_surface_code,map_track_condition_code,map_course_type_code,map_equipment_code,month,weekday,year,weeknum,x8name,x8country,x8_track_sym,race_id,runner_id
0,CT,2018-03-01,1,TB,4.5,0,D,0,M,CLM,NW2       X,,B,4U,0,15500,10000.0,8000.0,,,6,FST,R,7:07,,0,0,22.5,46.67,,,,53.19,57887,10.0,Kilrush,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,E,2.0,,42.0,4-6,39310.0,S,0.1,,18.99,4-6-1-3,23274.0,T,2.0,,122.6,4-6-1,30083.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Rainy,No Medication,,Not graded,4 year olds & up,Vet,Claiming,Dirt,Fast,Main Course,,3,Thursday,2018,4,KILRUSH,USA,CTX,CTX_20180301_1,CTX_20180301_1_nan
7,CT,2018-03-01,2,TB,6.5,0,D,0,M,MSW,,,F,03,1,23000,,,,,6,FST,R,7:42,,0,1,24.14,48.48,74.25,,,81.06,50511,50.0,Gorgeous Road,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,D,2.0,,17.6,4-6,8818.0,E,2.0,,5.6,6-7,32034.0,S,0.1,,2.48,6-7-2-4,21849.0,T,2.0,,19.0,6-7-2,26459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies,Thoroughbred,Rainy,No Medication,,Not graded,3 year olds,Vet,Maiden Special Weight,Dirt,Fast,Main Course,,3,Thursday,2018,4,GORGEOUSROAD,USA,CTX,CTX_20180301_2,CTX_20180301_2_nan
20,CT,2018-03-01,4,TB,7.0,0,D,0,M,ALW,C,,,4U,0,24500,,,,,6,SLY,L,8:41,,0,1,23.72,47.51,72.92,,,86.09,64678,60.0,Lulu Rocks,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,3,2.0,3.0,13.2,6-5-1,7669.0,4,0.5,4.0,29.8,4-1/6-5-1/4,19661.0,D,2.0,,9.2,5-1,3917.0,E,2.0,,9.6,1-3,43376.0,S,0.1,,3.06,1-3-7-2,23967.0,T,2.0,,26.2,1-3-7,31721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Vet,Allowance,Dirt,Sloppy,Main Course,,3,Thursday,2018,4,LULUROCKS,USA,CTX,CTX_20180301_4,CTX_20180301_4_nan
34,CT,2018-03-01,6,TB,7.0,0,D,0,M,CLM,NW4       X,,,4U,0,10000,5000.0,4500.0,,,9,SLY,R,9:38,,0,1,23.52,47.84,74.25,,,88.54,44970,60.0,Who Stole My Sock,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,3,2.0,3.0,201.8,1-4-9,7380.0,D,2.0,,122.0,4-9,3885.0,E,2.0,,185.6,9-10,34750.0,S,0.1,,237.19,9-10-3-6,21323.0,T,2.0,,688.0,9-10-3,26553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Rainy,No Medication,,Not graded,4 year olds & up,Vet,Claiming,Dirt,Sloppy,Main Course,,3,Thursday,2018,4,WHOSTOLEMYSOCK,USA,CTX,CTX_20180301_6,CTX_20180301_6_nan
52,CT,2018-03-01,8,TB,4.5,0,D,0,M,CLM,NW2       X,,,4U,0,10000,5000.0,4500.0,,,9,SLY,O,10:36,,0,1,22.15,46.45,,,,52.87,52209,10.0,Cou Rouge,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,S,,,,,,3,2.0,3.0,514.2,9-8-9,10488.0,4,0.5,4.0,622.55,4-9-8-9,34319.0,6J,0.2,6.0,754.4,5-1/4-4-9-8-9,3429.0,D,2.0,,66.0,8-9,10487.0,E,2.0,,68.6,9-6,45237.0,S,0.1,,94.91,9-6-2-8,27311.0,T,2.0,,175.2,9-6-2,33707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Showery,No Medication,,Not graded,4 year olds & up,Stewards,Claiming,Dirt,Sloppy,Main Course,,3,Thursday,2018,4,COUROUGE,USA,CTX,CTX_20180301_8,CTX_20180301_8_nan
53,CT,2018-03-01,8,TB,4.5,0,D,0,M,CLM,NW2       X,,,4U,0,10000,5000.0,4500.0,,,9,SLY,O,10:36,,0,1,22.15,46.45,,,,52.87,52209,10.0,Mad Bum,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,S,,,,,,3,2.0,3.0,514.2,9-8-9,10488.0,4,0.5,4.0,622.55,4-9-8-9,34319.0,6J,0.2,6.0,754.4,5-1/4-4-9-8-9,3429.0,D,2.0,,66.0,8-9,10487.0,E,2.0,,68.6,9-6,45237.0,S,0.1,,94.91,9-6-2-8,27311.0,T,2.0,,175.2,9-6-2,33707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Showery,No Medication,,Not graded,4 year olds & up,Stewards,Claiming,Dirt,Sloppy,Main Course,,3,Thursday,2018,4,MADBUM,USA,CTX,CTX_20180301_8,CTX_20180301_8_nan
54,CT,2018-03-01,8,TB,4.5,0,D,0,M,CLM,NW2       X,,,4U,0,10000,5000.0,4500.0,,,9,SLY,O,10:36,,0,1,22.15,46.45,,,,52.87,52209,10.0,Sr. Borincano,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,S,,,,,,3,2.0,3.0,514.2,9-8-9,10488.0,4,0.5,4.0,622.55,4-9-8-9,34319.0,6J,0.2,6.0,754.4,5-1/4-4-9-8-9,3429.0,D,2.0,,66.0,8-9,10487.0,E,2.0,,68.6,9-6,45237.0,S,0.1,,94.91,9-6-2-8,27311.0,T,2.0,,175.2,9-6-2,33707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Showery,No Medication,,Not graded,4 year olds & up,Stewards,Claiming,Dirt,Sloppy,Main Course,,3,Thursday,2018,4,SR.BORINCANO,USA,CTX,CTX_20180301_8,CTX_20180301_8_nan
0,DED,2018-03-01,1,TB,5.0,0,D,0,M,MSW,,,B,4U,1,48000,,,,,7,FST,L,5:49,,0,0,22.26,46.47,,,,60.52,60113,40.0,Simply Imagine,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,E,1.0,,6.5,2-8,53648.0,S,0.1,,7.07,2-8-7-3,37993.0,T,0.5,,17.85,2-8-7,46154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fillies & mares,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Vet,Maiden Special Weight,Dirt,Fast,Main Course,,3,Thursday,2018,4,SIMPLYIMAGINE,USA,DED,DED_20180301_1,DED_20180301_1_nan
8,DED,2018-03-01,2,TB,8.0,0,D,0,M,CLM,NW2     L,,,4U,1,23000,5000.0,5000.0,,,8,FST,L,6:21,,0,0,23.57,48.66,74.67,,,101.74,62192,40.0,Bayou Banjo,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,V,,,,,,D,1.0,,3.2,2-6,14489.0,E,1.0,,46.0,6-8,44293.0,S,0.1,,81.36,6-8-4-10,19531.0,T,0.5,,103.45,6-8-4,26861.0,Z,1.0,,1.5,2-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Vet,Claiming,Dirt,Fast,Main Course,,3,Thursday,2018,4,BAYOUBANJO,USA,DED,DED_20180301_2,DED_20180301_2_nan
9,DED,2018-03-01,2,TB,8.0,0,D,0,M,CLM,NW2     L,,,4U,1,23000,5000.0,5000.0,,,8,FST,L,6:21,,0,0,23.57,48.66,74.67,,,101.74,62192,40.0,Highroller Man,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,A,,,,,,D,1.0,,3.2,2-6,14489.0,E,1.0,,46.0,6-8,44293.0,S,0.1,,81.36,6-8-4-10,19531.0,T,0.5,,103.45,6-8-4,26861.0,Z,1.0,,1.5,2-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sex Restrictions,Thoroughbred,Cloudy,No Medication,,Not graded,4 year olds & up,Also Eligible,Claiming,Dirt,Fast,Main Course,,3,Thursday,2018,4,HIGHROLLERMAN,USA,DED,DED_20180301_2,DED_20180301_2_nan
